Identifier,Description,Source,Publisher,Year,Topic
WB_tm_val_agri_zs_un,Agricultural raw materials imports (% of merchandise imports),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_tx_val_agri_zs_un,Agricultural raw materials exports (% of merchandise exports),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_bx_grt_exta_cd_wd,"Grants, excluding technical cooperation (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_bx_grt_tech_cd_wd,"Technical cooperation grants (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_ausl_cd,"Net bilateral aid flows from DAC donors, Australia (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_autl_cd,"Net bilateral aid flows from DAC donors, Austria (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_bell_cd,"Net bilateral aid flows from DAC donors, Belgium (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_canl_cd,"Net bilateral aid flows from DAC donors, Canada (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_cecl_cd,"Net bilateral aid flows from DAC donors, European Union institutions (current US",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_chel_cd,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_czel_cd,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_deul_cd,"Net bilateral aid flows from DAC donors, Germany (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_dnkl_cd,"Net bilateral aid flows from DAC donors, Denmark (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_espl_cd,"Net bilateral aid flows from DAC donors, Spain (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_finl_cd,"Net bilateral aid flows from DAC donors, Finland (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_fral_cd,"Net bilateral aid flows from DAC donors, France (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_gbrl_cd,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_grcl_cd,"Net bilateral aid flows from DAC donors, Greece (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_irll_cd,"Net bilateral aid flows from DAC donors, Ireland (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_isll_cd,"Net bilateral aid flows from DAC donors, Iceland (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_ital_cd,"Net bilateral aid flows from DAC donors, Italy (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_jpnl_cd,"Net bilateral aid flows from DAC donors, Japan (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_korl_cd,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_luxl_cd,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_nldl_cd,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_norl_cd,"Net bilateral aid flows from DAC donors, Norway (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_nzll_cd,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_poll_cd,"Net bilateral aid flows from DAC donors, Poland (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_prtl_cd,"Net bilateral aid flows from DAC donors, Portugal (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_svkl_cd,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_svnl_cd,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_swel_cd,"Net bilateral aid flows from DAC donors, Sweden (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_totl_cd,"Net bilateral aid flows from DAC donors, Total (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dc_dac_usal_cd,"Net bilateral aid flows from DAC donors, United States (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_dis_idag_cd,IDA grants (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_dod_mdri_cd,Debt forgiveness grants (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_faog_cd,"Net official flows from UN agencies, FAO (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_iaea_cd,"Net official flows from UN agencies, IAEA (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_ifad_cd,"Net official flows from UN agencies, IFAD (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_ilog_cd,"Net official flows from UN agencies, ILO (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unai_cd,"Net official flows from UN agencies, UNAIDS (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_uncf_cd,"Net official flows from UN agencies, UNICEF (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_uncr_cd,"Net official flows from UN agencies, UNHCR (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_undp_cd,"Net official flows from UN agencies, UNDP (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unec_cd,"Net official flows from UN agencies, UNECE (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unfp_cd,"Net official flows from UN agencies, UNFPA (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unpb_cd,"Net official flows from UN agencies, UNPBF (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unrw_cd,"Net official flows from UN agencies, UNRWA (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_unta_cd,"Net official flows from UN agencies, UNTA (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_wfpg_cd,"Net official flows from UN agencies, WFP (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_nfl_whol_cd,"Net official flows from UN agencies, WHO (current US$)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_alld_cd,Net official development assistance and official aid received (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_alld_kd,Net official development assistance and official aid received (constant 2015 US$,World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_oatl_cd,Net official aid received (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_oatl_kd,Net official aid received (constant 2015 US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_cd,Net official development assistance received (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_gi_zs,Net ODA received (% of gross capital formation),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_gn_zs,Net ODA received (% of GNI),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_kd,Net official development assistance received (constant 2015 US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_mp_zs,"Net ODA received (% of imports of goods, services and primary income)",World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_pc_zs,Net ODA received per capita (current US$),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_dt_oda_odat_xp_zs,Net ODA received (% of central government expense),World Development Indicators,The World Bank Group,2018,Aid Flows
WB_se_enr_prsc_fm_zs,"School enrollment, primary and secondary (gross), gender parity index (GPI)",World Development Indicators,The World Bank Group,2018,Education
WB_se_prm_cmpt_zs,"Primary completion rate, total (% of relevant age group)",World Development Indicators,The World Bank Group,2018,Education
WB_sh_dyn_aids_zs,"Prevalence of HIV, total (% of population ages 15-49)",World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_sh_dyn_mort,"Mortality rate, under-5 (per 1,000 live births)",World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_sh_sta_anvc_zs,Pregnant women receiving prenatal care (%),World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_sh_sta_mmrt,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_sh_sta_stnt_zs,"Prevalence of stunting, height for age (% of children under 5)",World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_sh_tbs_incd,"Incidence of tuberculosis (per 100,000 people)",World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_si_dst_frst_20,Income share held by lowest 20%,World Development Indicators,The World Bank Group,2018,Poverty
WB_si_pov_dday,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),World Development Indicators,The World Bank Group,2018,Poverty
WB_sl_emp_vuln_zs,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",World Development Indicators,The World Bank Group,2018,Poverty
WB_sm_pop_netm,Net migration,World Development Indicators,The World Bank Group,2018,"Health, Nutrition and Population"
WB_bg_gsr_nfsv_gd_zs,Trade in services (% of GDP),World Development Indicators,The World Bank Group,2018,Private Sector Development
WB_bm_gsr_cmcp_zs,"Communications, computer, etc. (% of service imports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_fcty_cd,"Primary income payments (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_gnfs_cd,"Imports of goods and services (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_insf_zs,"Insurance and financial services (% of service imports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_mrch_cd,"Goods imports (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_nfsv_cd,"Service imports (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_royl_cd,"Charges for the use of intellectual property, payments (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_totl_cd,"Imports of goods, services and primary income (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_tran_zs,"Transport services (% of service imports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_gsr_trvl_zs,"Travel services (% of service imports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_klt_dinv_cd_wd,"Foreign direct investment, net outflows (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_klt_dinv_wd_gd_zs,"Foreign direct investment, net outflows (% of GDP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_trf_prvt_cd,"Secondary income, other sectors, payments (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bm_trf_pwkr_cd_dt,"Personal remittances, paid (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_cab_xoka_cd,"Current account balance (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_cab_xoka_gd_zs,Current account balance (% of GDP),World Development Indicators,The World Bank Group,2018,Trade
WB_bn_fin_totl_cd,"Net financial account (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_gsr_fcty_cd,"Net primary income (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_gsr_gnfs_cd,"Net trade in goods and services (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_gsr_mrch_cd,"Net trade in goods (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_kac_eoms_cd,"Net errors and omissions (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_klt_dinv_cd,"Foreign direct investment, net (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_klt_ptxl_cd,"Portfolio investment, net (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_res_incl_cd,"Reserves and related items (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_trf_curr_cd,"Net secondary income (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bn_trf_kogt_cd,"Net capital account (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_ccis_cd,"ICT service exports (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_ccis_zs,"ICT service exports (% of service exports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_cmcp_zs,"Communications, computer, etc. (% of service exports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_fcty_cd,"Primary income receipts (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_gnfs_cd,"Exports of goods and services (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_insf_zs,"Insurance and financial services (% of service exports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_mrch_cd,"Goods exports (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_nfsv_cd,"Service exports (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_royl_cd,"Charges for the use of intellectual property, receipts (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_totl_cd,"Exports of goods, services and primary income (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_tran_zs,"Transport services (% of service exports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_gsr_trvl_zs,"Travel services (% of service exports, BoP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_klt_dinv_cd_wd,"Foreign direct investment, net inflows (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_klt_dinv_wd_gd_zs,"Foreign direct investment, net inflows (% of GDP)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_klt_drem_cd_dt,"Primary income on FDI, payments (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_pef_totl_cd_wd,"Portfolio equity, net inflows (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_trf_curr_cd,"Secondary income receipts (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_trf_pwkr_cd,"Personal transfers, receipts (BoP, current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_trf_pwkr_cd_dt,"Personal remittances, received (current US$)",World Development Indicators,The World Bank Group,2018,Trade
WB_bx_trf_pwkr_dt_gd_zs,"Personal remittances, received (% of GDP)",World Development Indicators,The World Bank Group,2018,Trade
WB_dt_dod_dect_cd,"External debt stocks, total (DOD, current US$)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_dect_ex_zs,"External debt stocks (% of exports of goods, services and primary income)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_dect_gn_zs,External debt stocks (% of GNI),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_dstc_ir_zs,Short-term debt (% of total reserves),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_dstc_xp_zs,"Short-term debt (% of exports of goods, services and primary income)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_pvlx_cd,Present value of external debt (current US$),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_pvlx_ex_zs,"Present value of external debt (% of exports of goods, services and primary inc",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_dod_pvlx_gn_zs,Present value of external debt (% of GNI),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_int_dect_ex_zs,"Interest payments on external debt (% of exports of goods, services and primary",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_int_dect_gn_zs,Interest payments on external debt (% of GNI),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_tds_dect_ex_zs,"Total debt service (% of exports of goods, services and primary income)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_dt_tds_dect_gn_zs,Total debt service (% of GNI),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_fi_res_totl_cd,"Total reserves (includes gold, current US$)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_fi_res_xgld_cd,Total reserves minus gold (current US$),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_fp_cpi_totl_zg,"Inflation, consumer prices (annual %)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_gc_dod_totl_gd_zs,"Central government debt, total (% of GDP)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_gc_rev_xgrt_gd_zs,"Revenue, excluding grants (% of GDP)",World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_gc_xpn_totl_gd_zs,Expense (% of GDP),World Development Indicators,The World Bank Group,2018,Macroeconomic Vulnerability and Debt
WB_ne_con_govt_cd,General government final consumption expenditure (current US$),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_govt_cn,General government final consumption expenditure (current LCU),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_govt_kd,General government final consumption expenditure (constant 2010 US$),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_govt_kd_zg,General government final consumption expenditure (annual % growth),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_govt_kn,General government final consumption expenditure (constant LCU),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_govt_zs,General government final consumption expenditure (% of GDP),World Development Indicators,The World Bank Group,2018,Public Sector Management
WB_ne_con_prvt_cd,Households and NPISHs Final consumption expenditure (current US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_cn,Households and NPISHs Final consumption expenditure (current LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_kd,Households and NPISHs Final consumption expenditure (constant 2010 US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_kd_zg,Households and NPISHs Final consumption expenditure (annual % growth),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_kn,Households and NPISHs Final consumption expenditure (constant LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_pc_kd,Households and NPISHs Final consumption expenditure per capita (constant 2010 U,World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_pc_kd_zg,Households and NPISHs Final consumption expenditure per capita growth (annua,World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_pp_cd,"Households and NPISHs Final consumption expenditure, PPP (current international",World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_pp_kd,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 interna",World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_prvt_zs,Households and NPISHs final consumption expenditure (% of GDP),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_cd,Final consumption expenditure (current US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_cn,Final consumption expenditure (current LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_kd,Final consumption expenditure (constant 2010 US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_kd_zg,Final consumption expenditure (annual % growth),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_kn,Final consumption expenditure (constant LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_con_totl_zs,Final consumption expenditure (% of GDP),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_defl_zs,Gross national expenditure deflator (base year varies by country),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_totl_cd,Gross national expenditure (current US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_totl_cn,Gross national expenditure (current LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_totl_kd,Gross national expenditure (constant 2010 US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_totl_kn,Gross national expenditure (constant LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_dab_totl_zs,Gross national expenditure (% of GDP),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_cd,Exports of goods and services (current US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_cn,Exports of goods and services (current LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_kd,Exports of goods and services (constant 2010 US$),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_kd_zg,Exports of goods and services (annual % growth),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_kn,Exports of goods and services (constant LCU),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_exp_gnfs_zs,Exports of goods and services (% of GDP),World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_gdi_fprv_cn,"Gross fixed capital formation, private sector (current LCU)",World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_gdi_fprv_zs,"Gross fixed capital formation, private sector (% of GDP)",World Development Indicators,The World Bank Group,2018,Economic Growth
WB_ne_gdi_ftot_cd,Gross fixed capital formation (current US$),World Development Indicators,The World Bank Group,2018,Economic Growth
